delta,transformedValue,naturalValue,delta2,transformedValue2,naturalValue2,loss
-0.875,0.23734021,1.2678723,-0.021874994,0.6459969,0.6459969,2.4304657
-0.875,0.23734021,1.2678723,0.0,0.66787195,0.66787195,2.2680755
-0.875,0.23734021,1.2678723,0.021874994,0.689747,0.689747,2.11113
-0.875,0.23734021,1.2678723,0.043749988,0.71162194,0.71162194,1.9544678
-0.875,0.23734021,1.2678723,0.06562501,0.73349696,0.73349696,1.8176231
-0.875,0.23734021,1.2678723,0.087500006,0.7553719,0.7553719,1.6845297
-0.875,0.23734021,1.2678723,0.109375,0.77724695,0.77724695,1.562233
-0.875,0.23734021,1.2678723,0.13125,0.799122,0.799122,1.456148
-0.875,0.23734021,1.2678723,0.15312502,0.820997,0.820997,1.3591907
-0.875,0.23734021,1.2678723,0.17499998,0.8428719,0.8428719,1.2782332
-0.875,0.23734021,1.2678723,0.196875,0.8647469,0.8647469,1.2009168
-0.875,0.23734021,1.2678723,0.21874997,0.88662195,0.88662195,1.1360929
-0.875,0.23734021,1.2678723,0.240625,0.908497,0.908497,1.0974447
-0.875,0.23734021,1.2678723,0.26250002,0.930372,0.930372,1.059964
-0.875,0.23734021,1.2678723,0.28437498,0.9522469,0.9522469,1.0278491
-0.875,0.23734021,1.2678723,0.30625,0.9741219,0.9741219,1.0249674
-0.875,0.23734021,1.2678723,0.32812497,0.99599695,0.99599695,1.0571978
-0.875,0.23734021,1.2678723,0.35,1.017872,1.017872,1.1296142
-0.75,0.3623402,1.4366876,-0.35,0.31787196,0.31787196,4.0453224
-0.75,0.3623402,1.4366876,-0.328125,0.33974695,0.33974695,4.333437
-0.75,0.3623402,1.4366876,-0.30625,0.36162195,0.36162195,4.364962
-0.75,0.3623402,1.4366876,-0.284375,0.38349694,0.38349694,4.3624077
-0.75,0.3623402,1.4366876,-0.2625,0.40537196,0.40537196,4.328237
-0.75,0.3623402,1.4366876,-0.240625,0.42724696,0.42724696,4.2113748
-0.75,0.3623402,1.4366876,-0.21875,0.44912195,0.44912195,4.0643244
